,period,v_t,v_hi,v_lo,bid,ask
6963,2017-09-05 20:04:00+00:00,487416.0,487416.0,487416.0,487131.0,487396.0
6964,2017-09-05 20:05:00+00:00,488500.0,488500.0,488500.0,488406.0,488500.0
6965,2017-09-05 20:06:00+00:00,488906.0,488906.0,488906.0,488901.0,488906.0
6966,2017-09-05 20:07:00+00:00,490420.0,490420.0,490420.0,489789.0,490410.0
6967,2017-09-05 20:08:00+00:00,490084.0,490084.0,490084.0,489845.0,490132.0
6968,2017-09-05 20:09:00+00:00,489591.0,489591.0,489591.0,488813.0,489564.0
6969,2017-09-05 20:10:00+00:00,489668.0,489668.0,489668.0,489235.0,489667.0
6970,2017-09-05 20:11:00+00:00,490000.0,490000.0,490000.0,490000.0,490540.0
6971,2017-09-05 20:12:00+00:00,489999.0,489999.0,489999.0,489878.0,490540.0
6972,2017-09-05 20:13:00+00:00,490605.0,490605.0,490605.0,490608.0,490900.0
6973,2017-09-05 20:14:00+00:00,491172.0,491172.0,491172.0,491156.0,491172.0
6974,2017-09-05 20:15:00+00:00,490312.0,490312.0,490312.0,490313.0,491079.0
6975,2017-09-05 20:16:00+00:00,489450.0,489450.0,489450.0,489451.0,489856.0
6976,2017-09-05 20:17:00+00:00,489450.0,489450.0,489450.0,489450.0,489557.0
6977,2017-09-05 20:18:00+00:00,488460.0,488460.0,488460.0,488041.0,488455.0
6978,2017-09-05 20:19:00+00:00,489094.0,489094.0,489094.0,488251.0,489094.0
6979,2017-09-05 20:20:00+00:00,489635.0,489635.0,489635.0,489098.0,489633.0
6980,2017-09-05 20:21:00+00:00,488169.0,488169.0,488169.0,488169.0,488669.0
6981,2017-09-05 20:22:00+00:00,488050.0,488050.0,488050.0,488050.0,488659.0
6982,2017-09-05 20:23:00+00:00,487131.0,487131.0,487131.0,487880.0,488298.0
6983,2017-09-05 20:24:00+00:00,488100.0,488100.0,488100.0,488117.0,488914.0
6984,2017-09-05 20:25:00+00:00,488114.0,488114.0,488114.0,488114.0,488649.0
6985,2017-09-05 20:26:00+00:00,488124.0,488124.0,488124.0,487591.0,488124.0
6986,2017-09-05 20:27:00+00:00,488467.0,488467.0,488467.0,488510.0,488661.0
6987,2017-09-05 20:28:00+00:00,489000.0,489000.0,489000.0,488408.0,488921.0
6988,2017-09-05 20:29:00+00:00,488405.0,488405.0,488405.0,488405.0,488719.0
6989,2017-09-05 20:30:00+00:00,488500.0,488500.0,488500.0,487573.0,488718.0
6990,2017-09-05 20:31:00+00:00,488500.0,488500.0,488500.0,488105.0,488900.0
6991,2017-09-05 20:32:00+00:00,488500.0,488500.0,488500.0,488100.0,488500.0
6992,2017-09-05 20:33:00+00:00,487572.0,487572.0,487572.0,487572.0,488628.0
6993,2017-09-05 20:34:00+00:00,488700.0,488700.0,488700.0,488500.0,488700.0
6994,2017-09-05 20:35:00+00:00,489400.0,489400.0,489400.0,488775.0,489519.0
6995,2017-09-05 20:36:00+00:00,489400.0,489400.0,489400.0,488775.0,489400.0
6996,2017-09-05 20:37:00+00:00,489400.0,489400.0,489400.0,488620.0,489399.0
6997,2017-09-05 20:38:00+00:00,488140.0,488140.0,488140.0,488140.0,488493.0
6998,2017-09-05 20:39:00+00:00,487801.0,487801.0,487801.0,487801.0,488000.0
6999,2017-09-05 20:40:00+00:00,488000.0,488000.0,488000.0,487608.0,488000.0
